name,price,link,description
Кроссовки Response CL adidas логотип белые спортивные,5999,https://kasta.ua/image/345/uploads/product_image/2022/06/612/ad5585f855c85b7d86efd3dd8d548074.jpeg,"Цвет Белый  Состав верха Текстиль  Сезонность Демисезон  Принадлежность МужчинамГотовы ко всему. Кроссовки adidas Response CL в стиле моделей для трейлраннинга. Мягкая и легкая промежуточная подошва дарит комфорт и на прогулках, и на шашлыках, и на танцплощадке. Серьёзно, кто сказал, что выезд на природу  это сложно?"
Кроссовки Lite Racer 2.0 adidas логотип белые спортивные,1699,https://kasta.ua/image/345/uploads/product_image/2022/02/320/020125a9d07e6c9855b293d700759189.jpeg,"Цвет Белый  Состав верха Текстиль  Сезонность Демисезон  Принадлежность МужчинамУниверсальные кроссовки в спортивном стиле для активного образа жизни. Дышащий сетчатый верх обеспечивает ощущение комфорта, а амортизирующая промежуточная подошва смягчает каждый шаг. Бесшовные три полоски подчеркивают аутентичный стиль adidas."
Кроссовки adidas Yeezy Boost 350 V2 Black (Non-Reflective) FU9006 логотип черные деним,1799,https://kasta.ua/image/345/uploads/product_image/2021/11/522/24246a814b0d5dc1263d6b977b2fd766.jpeg,"Цвет Черный  Состав верха Текстиль  Сезонность Всесезон  Принадлежность МужчинамМировой бренд с тремя полосами из Херцогенаураха каким мы его теперь знаем, существует уже почти 70 лет. Развитие собственного ассортимента продукции и обеспечение максимальной производительности всегда были главной мотивацией для дизайнеров. Сегодня Adidas может опираться на уникальную историю своей продукции."
Кроссовки OZWEEGO adidas логотип черные спортивные,5399,https://kasta.ua/image/345/uploads/product_image/2022/06/646/0151f99ec1c0626585c88b1ffe2f9331.jpeg,"Цвет Черный  Состав верха Натуральная кожа  Сезонность Демисезон  Принадлежность МужчинамНа что может быть похожа прогулка по облакам? Возможно, на что-то вроде этих adidas OZWEEGO. В основе этой пары лежит беговая модель 90-х, дополненная технологией амортизации Adiprene. Поэтому каждый шаг в них ощущается так же хорошо, как выглядит."
Кроссовки Lite Racer 2.0 adidas логотип черные спортивные,1699,https://kasta.ua/image/345/uploads/product_image/2022/02/357/5936492817865804b41a92c71adf7da5.jpeg,"Цвет Черный  Состав верха Текстиль  Сезонность Демисезон  Принадлежность МужчинамУниверсальные кроссовки в спортивном стиле для активного образа жизни. Дышащий сетчатый верх обеспечивает ощущение комфорта, а амортизирующая промежуточная подошва смягчает каждый шаг. Бесшовные три полоски подчеркивают аутентичный стиль adidas."
Кроссовки adidas абстрактные комбинированные спортивные,1925,https://kasta.ua/image/345/uploads/product_image/2022/07/336/9f9d43d8a3b48b67fc6a95fa388477c4.jpeg,"Цвет Комбинированный  Состав верха Текстиль  Сезонность Демисезон  Принадлежность МужчинамЛегкие комфортные кроссовки на шуровке, высота подошвы 2 см. "
КРОСІВКИ Originals Yung-1 adidas Adidas Originals Yung-1 однотонные черные спортивные,3050,https://kasta.ua/image/345/uploads/product_image/2022/06/24/814164576568546ead22889bcd4359c0.jpeg,"Цвет Черный  Состав верха Текстиль, Натуральная замша  Сезонность Демисезон  Принадлежность МужчинамКРОСІВКИ Adidas Originals Yung-1 G27026 Черный"
Кроссовки adidas хаки кэжуал,3372,https://kasta.ua/image/345/uploads/product_image/2022/07/35/50e3ee80d84a0b28b740fe51038cbc6e.jpeg,Цвет Хаки  Сезонность Демисезон  Принадлежность МужчинамКроссовки мужские Adidas Ozelia (GX6449)
Кроссовки BREAKNET adidas логотип белые спортивные,1799,https://kasta.ua/image/345/uploads/product_image/2022/02/443/e93ec1ac303c17a494d5d35e3a508274.jpeg,Цвет Белый  Состав верха Текстиль  Сезонность Демисезон  Принадлежность Мужчинам
Мужские кроссовки adidas RUNFALCON 2.0 логотип черные спортивные,2090,https://kasta.ua/image/345/uploads/product_image/2022/01/525/c3bbe50b13ae596081ce4e7a08043f11.jpeg,"Цвет Черный  Состав верха Текстиль  Сезонность Демисезон  Принадлежность МужчинамМужские кроссовки Adidas RUNFALCON 2.0 TR FZ3578 легкая модель, дополненная эластичным верхом и крепкой подошвой. Особенности: • Верх из синтетики и дышащего текстиля • На шнурках для надежной фиксации стопы • Внутри мягкая стелька и подкладка из текстиля. • Резиновые вставки adidas ADIWEAR чрезвычайно прочны и установлены в тех местах подошвы, где наиболее высок риск стирания. • Легкая промежуточная подошва EVA • Резиновая подошва для лучшего сцепления с поверхностью  "
